name,year,magnitude,focal_depth,damage
CHINA:  LINGWU,1988,5.5,14.0,60.0
BANGLADESH:  SYLHET; INDIA:  TIPURA-ASSAM,1988,5.8,33.0,100.0
"PHILIPPINES:  MINDORO:  SAN JOSE, CALAPAN",1988,6.2,17.0,2.0
"TAIWAN:  HUALIEN, SU-HUA",1988,5.7,51.0,1.0
CHINA:  YUNNAN PROVINCE,1988,7.3,18.0,3900.0
"CHINA:  E, QINZHOU-FANGCHENG, NANNING",1988,4.6,10.0,71.0
"PHILIPPINES:  SAMAR:  CATARMAN, CATBALOGAN",1988,6.6,19.0,29.0
"MALAWI:  SALIMA, DEDZA, MOHINJI",1989,6.1,30.0,100.0
CHINA:  SICHUAN PROVINCE:  BATANG,1989,6.2,13.0,42.0
"CHINA:  YUNNAN PROVINCE:  GENGMA, LANCANG, MENGLIAN",1989,5.6,33.0,91.0
HAWAIIAN ISLANDS:  PUNA DISTRICT,1989,6.1,9.0,5.0
"DJIBOUTI:  GALAFI, YABAKI",1989,6.3,12.0,2.0
CHINA:  SICHUAN PROVINCE:  XIAOJIN COUNTY,1989,6.1,15.0,151.0
CALIFORNIA:  LOMA PRIETA,1989,6.9,19.0,3757.0
CHINA:  SHANXI AND HEBEI PROVINCES; DATONG,1989,5.3,10.0,193.0
"ALGERIA:  ALGIERS, CHERCHELL, TIPAZA",1989,5.7,6.0,245.0
CHINA:  SICHUAN PROVINCE:  JIANGBEI COUNTY,1989,4.7,33.0,161.0
"IRAN:  SHAHDAD, KERMAN PROVINCE",1989,5.9,18.0,45.0
AUSTRALIA:  NEWCASTLE,1989,5.4,10.0,100.0
"PHILIPPINES:  BOHOL, CEBU, CAGAYAN DE ORO, CAMIGUIN",1990,6.6,26.0,300.0
"CALIFORNIA:  S,  CLAREMONT,  COVINA",1990,5.5,5.0,30.0
"PAKISTAN:  KALAT, QUETTA, MASTUNG",1990,6.1,10.0,40.0
"COSTA RICA:  PUNTARENAS, SAN JOSE",1990,7.0,22.0,10.0
PHILIPPINES:  SANTIAGO,1990,5.5,39.0,2.0
